"Fitness", "Generation", "Variable", "Value"
3.0614147601121724, 0, Population, 2084
3.0614147601121724, 0, Renovation Cycle, 2050
3.0614147601121724, 0, Energy Intensity, 2070
3.0614147601121724, 0, Typesplit and Splitshare, 2054
3.0614147601121724, 0, Dwelling, 2026
14.211537027923542, 1, Population, 2063
14.211537027923542, 1, Renovation Cycle, 2036
14.211537027923542, 1, Energy Intensity, 2074
14.211537027923542, 1, Typesplit and Splitshare, 2062
14.211537027923542, 1, Dwelling, 2094
6.978185961895066, 2, Population, 2093
6.978185961895066, 2, Renovation Cycle, 2057
6.978185961895066, 2, Energy Intensity, 2067
6.978185961895066, 2, Typesplit and Splitshare, 2026
6.978185961895066, 2, Dwelling, 2088
13.850094325895542, 3, Population, 2092
13.850094325895542, 3, Renovation Cycle, 2026
13.850094325895542, 3, Energy Intensity, 2074
13.850094325895542, 3, Typesplit and Splitshare, 2061
13.850094325895542, 3, Dwelling, 2084
14.892882602573943, 4, Population, 2034
14.892882602573943, 4, Renovation Cycle, 2070
14.892882602573943, 4, Energy Intensity, 2074
14.892882602573943, 4, Typesplit and Splitshare, 2026
14.892882602573943, 4, Dwelling, 2042
15.338594270755145, 5, Population, 2025
15.338594270755145, 5, Renovation Cycle, 2026
15.338594270755145, 5, Energy Intensity, 2091
15.338594270755145, 5, Typesplit and Splitshare, 2061
15.338594270755145, 5, Dwelling, 2094
19.157266258226745, 6, Population, 2039
19.157266258226745, 6, Renovation Cycle, 2087
19.157266258226745, 6, Energy Intensity, 2074
19.157266258226745, 6, Typesplit and Splitshare, 2082
19.157266258226745, 6, Dwelling, 2062
19.15817151207576, 7, Population, 2039
19.15817151207576, 7, Renovation Cycle, 2087
19.15817151207576, 7, Energy Intensity, 2074
19.15817151207576, 7, Typesplit and Splitshare, 2082
19.15817151207576, 7, Dwelling, 2054
19.157392336865477, 8, Population, 2039
19.157392336865477, 8, Renovation Cycle, 2071
19.157392336865477, 8, Energy Intensity, 2082
19.157392336865477, 8, Typesplit and Splitshare, 2045
19.157392336865477, 8, Dwelling, 2054
20.214800599702734, 9, Population, 2029
20.214800599702734, 9, Renovation Cycle, 2048
20.214800599702734, 9, Energy Intensity, 2039
20.214800599702734, 9, Typesplit and Splitshare, 2026
20.214800599702734, 9, Dwelling, 2099
17.42661313489466, 10, Population, 2059
17.42661313489466, 10, Renovation Cycle, 2087
17.42661313489466, 10, Energy Intensity, 2085
17.42661313489466, 10, Typesplit and Splitshare, 2041
17.42661313489466, 10, Dwelling, 2045
14.653164645341654, 11, Population, 2040
14.653164645341654, 11, Renovation Cycle, 2087
14.653164645341654, 11, Energy Intensity, 2047
14.653164645341654, 11, Typesplit and Splitshare, 2026
14.653164645341654, 11, Dwelling, 2085
17.42460244205999, 12, Population, 2059
17.42460244205999, 12, Renovation Cycle, 2041
17.42460244205999, 12, Energy Intensity, 2025
17.42460244205999, 12, Typesplit and Splitshare, 2026
17.42460244205999, 12, Dwelling, 2085
17.424879236180974, 13, Population, 2059
17.424879236180974, 13, Renovation Cycle, 2053
17.424879236180974, 13, Energy Intensity, 2025
17.424879236180974, 13, Typesplit and Splitshare, 2026
17.424879236180974, 13, Dwelling, 2085
17.424879236180974, 14, Population, 2059
17.424879236180974, 14, Renovation Cycle, 2053
17.424879236180974, 14, Energy Intensity, 2025
17.424879236180974, 14, Typesplit and Splitshare, 2026
17.424879236180974, 14, Dwelling, 2047
17.537363691235253, 15, Population, 2059
17.537363691235253, 15, Renovation Cycle, 2071
17.537363691235253, 15, Energy Intensity, 2025
17.537363691235253, 15, Typesplit and Splitshare, 2026
17.537363691235253, 15, Dwelling, 2085
17.537363691235253, 16, Population, 2059
17.537363691235253, 16, Renovation Cycle, 2071
17.537363691235253, 16, Energy Intensity, 2025
17.537363691235253, 16, Typesplit and Splitshare, 2026
17.537363691235253, 16, Dwelling, 2085
17.537363691235253, 17, Population, 2059
17.537363691235253, 17, Renovation Cycle, 2061
17.537363691235253, 17, Energy Intensity, 2099
17.537363691235253, 17, Typesplit and Splitshare, 2026
17.537363691235253, 17, Dwelling, 2025
17.54435047087647, 18, Population, 2059
17.54435047087647, 18, Renovation Cycle, 2067
17.54435047087647, 18, Energy Intensity, 2025
17.54435047087647, 18, Typesplit and Splitshare, 2098
17.54435047087647, 18, Dwelling, 2085
17.538531154815463, 19, Population, 2059
17.538531154815463, 19, Renovation Cycle, 2098
17.538531154815463, 19, Energy Intensity, 2025
17.538531154815463, 19, Typesplit and Splitshare, 2088
17.538531154815463, 19, Dwelling, 2085
17.537363691235253, 20, Population, 2059
17.537363691235253, 20, Renovation Cycle, 2098
17.537363691235253, 20, Energy Intensity, 2042
17.537363691235253, 20, Typesplit and Splitshare, 2026
17.537363691235253, 20, Dwelling, 2036
17.428085890474815, 21, Population, 2059
17.428085890474815, 21, Renovation Cycle, 2071
17.428085890474815, 21, Energy Intensity, 2047
17.428085890474815, 21, Typesplit and Splitshare, 2026
17.428085890474815, 21, Dwelling, 2085
17.426586204431803, 22, Population, 2059
17.426586204431803, 22, Renovation Cycle, 2098
17.426586204431803, 22, Energy Intensity, 2040
17.426586204431803, 22, Typesplit and Splitshare, 2026
17.426586204431803, 22, Dwelling, 2064
20.211023548531113, 23, Population, 2029
20.211023548531113, 23, Renovation Cycle, 2078
20.211023548531113, 23, Energy Intensity, 2027
