"Generation", "Position", "Fitness"
0, 0, 3.0614147601121724
0, 1, 2.3684530904585728
0, 2, 2.3372445835068745
0, 3, 1.413704015489203
0, 4, 0.9738746931079136
1, 0, 14.211537027923542
1, 1, 3.0135561438319476
1, 2, 2.8788636332809645
1, 3, 2.368453087438597
1, 4, 1.413704015489203
2, 0, 6.978185961895066
2, 1, 5.173291435242151
2, 2, 4.380637182324321
2, 3, 2.8689799123607846
2, 4, 2.3704186975051296
3, 0, 13.850094325895542
3, 1, 11.862576723046413
3, 2, 6.502112918052144
3, 3, 6.276910904196362
3, 4, 6.147435690640254
4, 0, 14.892882602573943
4, 1, 13.982524567931094
4, 2, 11.863495585970686
4, 3, 7.452682250034221
4, 4, 5.173032937734138
5, 0, 15.338594270755145
5, 1, 14.651352339612407
5, 2, 14.493084089028857
5, 3, 14.188242548742668
5, 4, 12.17796130572348
6, 0, 19.157266258226745
6, 1, 19.155150635436055
6, 2, 14.651687277904399
6, 3, 14.651352339612407
6, 4, 14.651352339612407
7, 0, 19.15817151207576
7, 1, 19.15669332739488
7, 2, 15.33735442249957
7, 3, 15.056983061466292
7, 4, 14.894194337416334
8, 0, 19.157392336865477
8, 1, 19.15498135962823
8, 2, 15.338047600072574
8, 3, 15.333047641174867
8, 4, 14.89419022059089
9, 0, 20.214800599702734
9, 1, 19.15739836023407
9, 2, 15.338047600072574
9, 3, 14.651687277904399
9, 4, 14.401069302766823
10, 0, 17.42661313489466
10, 1, 14.781214302306156
10, 2, 14.653185367424495
10, 3, 14.651977894786741
10, 4, 14.621994663220454
11, 0, 14.653164645341654
11, 1, 14.651977894786741
11, 2, 14.651977894786741
11, 3, 14.623366882386652
11, 4, 14.621994663220454
12, 0, 17.42460244205999
12, 1, 14.654972373409292
12, 2, 14.653164645341654
12, 3, 14.652044967317721
12, 4, 14.651666559016205
13, 0, 17.424879236180974
13, 1, 17.42487093049128
13, 2, 15.343792761414377
13, 3, 14.653185367424495
13, 4, 14.653164645341654
14, 0, 17.424879236180974
14, 1, 17.424879236180974
14, 2, 17.42487093049128
14, 3, 15.334806626876908
14, 4, 14.653185367424495
15, 0, 17.537363691235253
15, 1, 17.423349274687226
15, 2, 14.854246279603442
15, 3, 14.653164645341654
15, 4, 14.550401823382954
16, 0, 17.537363691235253
16, 1, 17.425365738918284
16, 2, 17.424879236180974
16, 3, 14.361478437986765
16, 4, 14.205070754690224
17, 0, 17.537363691235253
17, 1, 17.537363691235253
17, 2, 17.537363691235253
