"Fitness", "Generation", "Variable", "Value"
17.957931773077334, 100, Population, 0.12599005877120362
17.957931773077334, 100, Renovation Cycle, 0.5234047771151664
17.957931773077334, 100, Energy Intensity, 0.003641118990779235
17.957931773077334, 100, Typesplit and Splitshare, 0.9952345851006847
17.957931773077334, 100, Dwelling, 0.7543329733297495
16.071638406506256, 61, Population, 0.13499935690536835
16.071638406506256, 61, Renovation Cycle, 0.3395400451476305
16.071638406506256, 61, Energy Intensity, 0.11696437661412529
16.071638406506256, 61, Typesplit and Splitshare, 0.9921647266123877
16.071638406506256, 61, Dwelling, 0.1382150577363933
12.985357933444826, 4, Population, 0.028594514879774158
12.985357933444826, 4, Renovation Cycle, 0.7752301475174203
12.985357933444826, 4, Energy Intensity, 0.334084802889825
12.985357933444826, 4, Typesplit and Splitshare, 0.9881365775583224
12.985357933444826, 4, Dwelling, 0.09246941546204202
20.370788001150345, 80, Population, 0.15959649982899438
20.370788001150345, 80, Renovation Cycle, 0.43536746263147763
20.370788001150345, 80, Energy Intensity, 0.003062496254033875
20.370788001150345, 80, Typesplit and Splitshare, 0.9984785497414222
20.370788001150345, 80, Dwelling, 0.3836844789647149
15.101745619461564, 53, Population, 0.1835328625484004
15.101745619461564, 53, Renovation Cycle, 0.4831216708325037
15.101745619461564, 53, Energy Intensity, 0.08597975215356335
15.101745619461564, 53, Typesplit and Splitshare, 0.9985410008664194
15.101745619461564, 53, Dwelling, 0.35313766577530814
16.35890978936792, 25, Population, 0.025086994226965698
16.35890978936792, 25, Renovation Cycle, 0.2231814945395385
16.35890978936792, 25, Energy Intensity, 0.04399202828405113
16.35890978936792, 25, Typesplit and Splitshare, 0.9926103163786354
16.35890978936792, 25, Dwelling, 0.42132915208340127
20.224285043502302, 48, Population, 0.050581410717771225
20.224285043502302, 48, Renovation Cycle, 0.209065174061293
20.224285043502302, 48, Energy Intensity, 0.0999064016978446
20.224285043502302, 48, Typesplit and Splitshare, 0.9983003365283377
20.224285043502302, 48, Dwelling, 0.9900264752448966
19.070628656417057, 38, Population, 0.15149565790927366
19.070628656417057, 38, Renovation Cycle, 0.2749684436817166
19.070628656417057, 38, Energy Intensity, 0.15305764562574842
19.070628656417057, 38, Typesplit and Splitshare, 0.9993638563998483
19.070628656417057, 38, Dwelling, 0.7104741072222689
20.2132116006268, 21, Population, 0.12315080057017225
20.2132116006268, 21, Renovation Cycle, 0.9101752137860394
20.2132116006268, 21, Energy Intensity, 0.012590222544133112
20.2132116006268, 21, Typesplit and Splitshare, 0.9982949936052008
20.2132116006268, 21, Dwelling, 0.6430730971538289
12.269274617846726, 50, Population, 0.03456792416363619
12.269274617846726, 50, Renovation Cycle, 0.6850086599566199
12.269274617846726, 50, Energy Intensity, 0.08040110837483905
12.269274617846726, 50, Typesplit and Splitshare, 0.99142961671814
12.269274617846726, 50, Dwelling, 0.7441397360290821
12.922668180745426, 1, Population, 0.09120979559409548
12.922668180745426, 1, Renovation Cycle, 0.7493752117383625
12.922668180745426, 1, Energy Intensity, 0.3357154167944767
12.922668180745426, 1, Typesplit and Splitshare, 0.9979890924734682
12.922668180745426, 1, Dwelling, 0.717743477570914
21.27339319827456, 38, Population, 0.047415504395980634
21.27339319827456, 38, Renovation Cycle, 0.27577591601253526
21.27339319827456, 38, Energy Intensity, 0.038127525099336035
21.27339319827456, 38, Typesplit and Splitshare, 0.9995551684324334
21.27339319827456, 38, Dwelling, 0.2343605361077783
16.14906297263624, 49, Population, 0.10900271174892673
16.14906297263624, 49, Renovation Cycle, 0.42225148019728054
