"Fitness", "Generation", "Variable", "Value"
17.957931773077334, 100, Population, 2029
17.957931773077334, 100, Renovation Cycle, 2052
17.957931773077334, 100, Energy Intensity, 2078
17.957931773077334, 100, Typesplit and Splitshare, 2043
17.957931773077334, 100, Dwelling, 2044
16.071638406506256, 61, Population, 2029
16.071638406506256, 61, Renovation Cycle, 2055
16.071638406506256, 61, Energy Intensity, 2047
16.071638406506256, 61, Typesplit and Splitshare, 2028
16.071638406506256, 61, Dwelling, 2038
12.985357933444826, 4, Population, 2029
12.985357933444826, 4, Renovation Cycle, 2096
12.985357933444826, 4, Energy Intensity, 2054
12.985357933444826, 4, Typesplit and Splitshare, 2036
12.985357933444826, 4, Dwelling, 2057
20.370788001150345, 80, Population, 2029
20.370788001150345, 80, Renovation Cycle, 2074
20.370788001150345, 80, Energy Intensity, 2037
20.370788001150345, 80, Typesplit and Splitshare, 2098
20.370788001150345, 80, Dwelling, 2095
15.101745619461564, 53, Population, 2032
15.101745619461564, 53, Renovation Cycle, 2057
15.101745619461564, 53, Energy Intensity, 2097
15.101745619461564, 53, Typesplit and Splitshare, 2077
15.101745619461564, 53, Dwelling, 2034
16.35890978936792, 25, Population, 2029
16.35890978936792, 25, Renovation Cycle, 2067
16.35890978936792, 25, Energy Intensity, 2067
16.35890978936792, 25, Typesplit and Splitshare, 2099
16.35890978936792, 25, Dwelling, 2081
20.224285043502302, 48, Population, 2029
20.224285043502302, 48, Renovation Cycle, 2092
20.224285043502302, 48, Energy Intensity, 2038
20.224285043502302, 48, Typesplit and Splitshare, 2092
20.224285043502302, 48, Dwelling, 2058
19.070628656417057, 38, Population, 2049
19.070628656417057, 38, Renovation Cycle, 2047
19.070628656417057, 38, Energy Intensity, 2033
19.070628656417057, 38, Typesplit and Splitshare, 2086
19.070628656417057, 38, Dwelling, 2063
20.2132116006268, 21, Population, 2029
20.2132116006268, 21, Renovation Cycle, 2032
20.2132116006268, 21, Energy Intensity, 2031
20.2132116006268, 21, Typesplit and Splitshare, 2090
20.2132116006268, 21, Dwelling, 2060
12.269274617846726, 50, Population, 2025
12.269274617846726, 50, Renovation Cycle, 2034
12.269274617846726, 50, Energy Intensity, 2045
12.269274617846726, 50, Typesplit and Splitshare, 2054
12.269274617846726, 50, Dwelling, 2099
12.922668180745426, 1, Population, 2072
12.922668180745426, 1, Renovation Cycle, 2027
12.922668180745426, 1, Energy Intensity, 2098
12.922668180745426, 1, Typesplit and Splitshare, 2050
12.922668180745426, 1, Dwelling, 2086
21.27339319827456, 38, Population, 2029
21.27339319827456, 38, Renovation Cycle, 2034
21.27339319827456, 38, Energy Intensity, 2085
21.27339319827456, 38, Typesplit and Splitshare, 2099
21.27339319827456, 38, Dwelling, 2054
16.14906297263624, 49, Population, 2049
16.14906297263624, 49, Renovation Cycle, 2064
16.14906297263624, 49, Energy Intensity, 2063
16.14906297263624, 49, Typesplit and Splitshare, 2097
16.14906297263624, 49, Dwelling, 2042
17.49575850979844, 46, Population, 2039
17.49575850979844, 46, Renovation Cycle, 2086
17.49575850979844, 46, Energy Intensity, 2049
17.49575850979844, 46, Typesplit and Splitshare, 2035
17.49575850979844, 46, Dwelling, 2031
13.649748045931698, 43, Population, 2029
13.649748045931698, 43, Renovation Cycle, 2074
13.649748045931698, 43, Energy Intensity, 2075
13.649748045931698, 43, Typesplit and Splitshare, 2057
13.649748045931698, 43, Dwelling, 2079
17.21824063597105, 32, Population, 2029
17.21824063597105, 32, Renovation Cycle, 2056
17.21824063597105, 32, Energy Intensity, 2070
17.21824063597105, 32, Typesplit and Splitshare, 2099
17.21824063597105, 32, Dwelling, 2076
15.184783429929668, 39, Population, 2049
15.184783429929668, 39, Renovation Cycle, 2092
15.184783429929668, 39, Energy Intensity, 2077
15.184783429929668, 39, Typesplit and Splitshare, 2095
15.184783429929668, 39, Dwelling, 2073
19.060696131699896, 31, Population, 2039
19.060696131699896, 31, Renovation Cycle, 2030
19.060696131699896, 31, Energy Intensity, 2042
19.060696131699896, 31, Typesplit and Splitshare, 2098
19.060696131699896, 31, Dwelling, 2045
14.018630790709356, 50, Population, 2059
14.018630790709356, 50, Renovation Cycle, 2035
14.018630790709356, 50, Energy Intensity, 2070
14.018630790709356, 50, Typesplit and Splitshare, 2076
14.018630790709356, 50, Dwelling, 2068
15.615331753781998, 29, Population, 2089
15.615331753781998, 29, Renovation Cycle, 2066
15.615331753781998, 29, Energy Intensity, 2029
15.615331753781998, 29, Typesplit and Splitshare, 2068
15.615331753781998, 29, Dwelling, 2049
14.015683621824364, 47, Population, 2039
14.015683621824364, 47, Renovation Cycle, 2071
14.015683621824364, 47, Energy Intensity, 2050
14.015683621824364, 47, Typesplit and Splitshare, 2099
14.015683621824364, 47, Dwelling, 2029
15.641298500514155, 25, Population, 2027
