"Fitness", "Generation", "Variable", "Value"
1.4267394819394328, 25, Population, 2100
1.4267394819394328, 25, Renovation Cycle, 2050
1.4267394819394328, 25, Energy Intensity, 2054
1.4267394819394328, 25, Typesplit and Splitshare, 2082
1.4267394819394328, 25, Dwelling, 2059
1.3713942001496922, 37, Population, 2100
1.3713942001496922, 37, Renovation Cycle, 2043
1.3713942001496922, 37, Energy Intensity, 2099
1.3713942001496922, 37, Typesplit and Splitshare, 2099
1.3713942001496922, 37, Dwelling, 2098
1.3143648490117938, 34, Population, 2100
1.3143648490117938, 34, Renovation Cycle, 2079
1.3143648490117938, 34, Energy Intensity, 2029
1.3143648490117938, 34, Typesplit and Splitshare, 2099
1.3143648490117938, 34, Dwelling, 2039
1.2145857236428128, 47, Population, 2100
1.2145857236428128, 47, Renovation Cycle, 2087
1.2145857236428128, 47, Energy Intensity, 2035
1.2145857236428128, 47, Typesplit and Splitshare, 2098
1.2145857236428128, 47, Dwelling, 2056
1.2442641247824806, 48, Population, 2100
1.2442641247824806, 48, Renovation Cycle, 2032
1.2442641247824806, 48, Energy Intensity, 2035
1.2442641247824806, 48, Typesplit and Splitshare, 2099
1.2442641247824806, 48, Dwelling, 2075
1.2132826162668686, 50, Population, 2100
1.2132826162668686, 50, Renovation Cycle, 2076
1.2132826162668686, 50, Energy Intensity, 2027
1.2132826162668686, 50, Typesplit and Splitshare, 2098
1.2132826162668686, 50, Dwelling, 2046
1.2658957478579667, 34, Population, 2100
1.2658957478579667, 34, Renovation Cycle, 2063
1.2658957478579667, 34, Energy Intensity, 2098
1.2658957478579667, 34, Typesplit and Splitshare, 2099
1.2658957478579667, 34, Dwelling, 2077
1.2046772606810519, 37, Population, 2100
1.2046772606810519, 37, Renovation Cycle, 2036
1.2046772606810519, 37, Energy Intensity, 2078
1.2046772606810519, 37, Typesplit and Splitshare, 2099
1.2046772606810519, 37, Dwelling, 2058
1.2056102740161527, 44, Population, 2100
1.2056102740161527, 44, Renovation Cycle, 2075
