"Fitness", "Generation", "Variable", "Value"
4.363751064916618, 75, Population, 2029
4.363751064916618, 75, Renovation Cycle, 2060
4.363751064916618, 75, Energy Intensity, 2041
4.363751064916618, 75, Typesplit and Splitshare, 2097
4.363751064916618, 75, Dwelling, 2071
5.241448085858828, 99, Population, 2029
5.241448085858828, 99, Renovation Cycle, 2028
5.241448085858828, 99, Energy Intensity, 2026
5.241448085858828, 99, Typesplit and Splitshare, 2092
5.241448085858828, 99, Dwelling, 2025
5.312514905959138, 59, Population, 2029
5.312514905959138, 59, Renovation Cycle, 2074
5.312514905959138, 59, Energy Intensity, 2028
5.312514905959138, 59, Typesplit and Splitshare, 2099
5.312514905959138, 59, Dwelling, 2078
5.315683929548969, 83, Population, 2029
5.315683929548969, 83, Renovation Cycle, 2087
5.315683929548969, 83, Energy Intensity, 2031
5.315683929548969, 83, Typesplit and Splitshare, 2099
5.315683929548969, 83, Dwelling, 2067
5.250069025038087, 74, Population, 2029
5.250069025038087, 74, Renovation Cycle, 2064
5.250069025038087, 74, Energy Intensity, 2032
5.250069025038087, 74, Typesplit and Splitshare, 2099
5.250069025038087, 74, Dwelling, 2049
7.718127798554278, 93, Population, 2028
7.718127798554278, 93, Renovation Cycle, 2077
7.718127798554278, 93, Energy Intensity, 2093
7.718127798554278, 93, Typesplit and Splitshare, 2086
7.718127798554278, 93, Dwelling, 2041
5.062267547949241, 79, Population, 2029
5.062267547949241, 79, Renovation Cycle, 2042
5.062267547949241, 79, Energy Intensity, 2026
5.062267547949241, 79, Typesplit and Splitshare, 2098
5.062267547949241, 79, Dwelling, 2052
13.238273578938525, 92, Population, 2038
13.238273578938525, 92, Renovation Cycle, 2093
13.238273578938525, 92, Energy Intensity, 2033
13.238273578938525, 92, Typesplit and Splitshare, 2085
13.238273578938525, 92, Dwelling, 2065
4.855128944783297, 90, Population, 2029
4.855128944783297, 90, Renovation Cycle, 2081
4.855128944783297, 90, Energy Intensity, 2026
4.855128944783297, 90, Typesplit and Splitshare, 2090
4.855128944783297, 90, Dwelling, 2036
5.333970119217177, 57, Population, 2029
5.333970119217177, 57, Renovation Cycle, 2083
5.333970119217177, 57, Energy Intensity, 2030
5.333970119217177, 57, Typesplit and Splitshare, 2099
5.333970119217177, 57, Dwelling, 2097
5.288387390164109, 64, Population, 2029
5.288387390164109, 64, Renovation Cycle, 2084
5.288387390164109, 64, Energy Intensity, 2028
