"Fitness", "Individual", "Variable", "Value"
11.936691422755423, 0, Population, 0.016618353867021818
11.936691422755423, 0, Renovation Cycle, 0.19184527466765477
11.936691422755423, 0, Energy Intensity, 0.09776698405730722
11.936691422755423, 0, Typesplit and Splitshare, 0.992648484378883
11.936691422755423, 0, Dwelling, 0.26605747066060914
11.312460726919154, 1, Population, 0.24064643112209338
11.312460726919154, 1, Renovation Cycle, 0.8647722770442108
11.312460726919154, 1, Energy Intensity, 0.10527171867435603
11.312460726919154, 1, Typesplit and Splitshare, 0.9996575684553329
11.312460726919154, 1, Dwelling, 0.15545265108616402
10.344445148840192, 2, Population, 0.14079804810192742
10.344445148840192, 2, Renovation Cycle, 0.5409337706462685
10.344445148840192, 2, Energy Intensity, 0.1796874118859595
10.344445148840192, 2, Typesplit and Splitshare, 0.9890510756457707
10.344445148840192, 2, Dwelling, 0.9259855373510132
8.612245653723916, 3, Population, 0.034588646348015284
8.612245653723916, 3, Renovation Cycle, 0.04521073768584949
8.612245653723916, 3, Energy Intensity, 0.05998989689025447
8.612245653723916, 3, Typesplit and Splitshare, 0.9788589772358858
8.612245653723916, 3, Dwelling, 0.8820981474609527
5.1451937182954595, 4, Population, 0.28652061959302877
5.1451937182954595, 4, Renovation Cycle, 0.7508964613501065
5.1451937182954595, 4, Energy Intensity, 0.2790300499162931
5.1451937182954595, 4, Typesplit and Splitshare, 0.9729732947603527
5.1451937182954595, 4, Dwelling, 0.8287728561724537
4.8556374893705705, 5, Population, 0.17423940866785725
4.8556374893705705, 5, Renovation Cycle, 0.13226953229443938
4.8556374893705705, 5, Energy Intensity, 0.020717847285255164
4.8556374893705705, 5, Typesplit and Splitshare, 0.9552838121747308
4.8556374893705705, 5, Dwelling, 0.8469389193920986
3.7026989454795207, 6, Population, 0.39293897562848557
3.7026989454795207, 6, Renovation Cycle, 0.7042801460687216
3.7026989454795207, 6, Energy Intensity, 0.6269740375782406
3.7026989454795207, 6, Typesplit and Splitshare, 0.9924945486480489
3.7026989454795207, 6, Dwelling, 0.40066547314665946
2.7706109069711733, 7, Population, 0.4594755428973374
2.7706109069711733, 7, Renovation Cycle, 0.3755473941213344
2.7706109069711733, 7, Energy Intensity, 0.9356502115080442
2.7706109069711733, 7, Typesplit and Splitshare, 0.9979576751222011
2.7706109069711733, 7, Dwelling, 0.32742928255798975
2.668620711811148, 8, Population, 0.6284353529853973
2.668620711811148, 8, Renovation Cycle, 0.8049540526148821
2.668620711811148, 8, Energy Intensity, 0.45375506395682497
2.668620711811148, 8, Typesplit and Splitshare, 0.9988222133651148
2.668620711811148, 8, Dwelling, 0.46662111626797087
2.4679804220443473, 9, Population, 0.1835422667821186
2.4679804220443473, 9, Renovation Cycle, 0.13503712357869313
2.4679804220443473, 9, Energy Intensity, 0.20546996271720763
2.4679804220443473, 9, Typesplit and Splitshare, 0.9088445813436391
2.4679804220443473, 9, Dwelling, 0.6896701823074286
2.362237563289952, 10, Population, 0.2299987618714865
2.362237563289952, 10, Renovation Cycle, 0.09781235623953755
2.362237563289952, 10, Energy Intensity, 0.5686555615088725
2.362237563289952, 10, Typesplit and Splitshare, 0.9384733070038258
2.362237563289952, 10, Dwelling, 0.7432056204967584
2.3476924968386905, 11, Population, 0.059503945498637356
2.3476924968386905, 11, Renovation Cycle, 0.3771160866696921
2.3476924968386905, 11, Energy Intensity, 0.515392932665116
2.3476924968386905, 11, Typesplit and Splitshare, 0.9157113625547549
2.3476924968386905, 11, Dwelling, 0.5605105730115127
2.3202713828575767, 12, Population, 0.3352054305061962
2.3202713828575767, 12, Renovation Cycle, 0.2674531125794205
2.3202713828575767, 12, Energy Intensity, 0.3776199041029631
2.3202713828575767, 12, Typesplit and Splitshare, 0.9543595984605204
2.3202713828575767, 12, Dwelling, 0.44808382282635284
2.252944613697365, 13, Population, 0.22918496889452644
2.252944613697365, 13, Renovation Cycle, 0.6203750891818741
2.252944613697365, 13, Energy Intensity, 0.2996928319620803
2.252944613697365, 13, Typesplit and Splitshare, 0.92626330356503
2.252944613697365, 13, Dwelling, 0.6488637861238707
2.212027780323387, 14, Population, 0.1718359435513379
2.212027780323387, 14, Renovation Cycle, 0.8972142035908411
2.212027780323387, 14, Energy Intensity, 0.880769907074497
2.212027780323387, 14, Typesplit and Splitshare, 0.9246410829988275
2.212027780323387, 14, Dwelling, 0.7936755500858668
2.079752619224089, 15, Population, 0.17501310571782192
2.079752619224089, 15, Renovation Cycle, 0.3051747301158183
2.079752619224089, 15, Energy Intensity, 0.6655674185227385
2.079752619224089, 15, Typesplit and Splitshare, 0.9118557607631997
2.079752619224089, 15, Dwelling, 0.9733745355744631
2.074679440596031, 16, Population, 0.8000786614621664
2.074679440596031, 16, Renovation Cycle, 0.9897426927477615
2.074679440596031, 16, Energy Intensity, 0.07722206773967599
2.074679440596031, 16, Typesplit and Splitshare, 0.999736141021355
2.074679440596031, 16, Dwelling, 0.9755937023743908
2.0745298821996654, 17, Population, 0.3553479141468586
2.0745298821996654, 17, Renovation Cycle, 0.22708315028327197
2.0745298821996654, 17, Energy Intensity, 0.7904780448100631
2.0745298821996654, 17, Typesplit and Splitshare, 0.9623210463292312
2.0745298821996654, 17, Dwelling, 0.02643431768673743
1.9580208817897509, 18, Population, 0.20925296050432818
1.9580208817897509, 18, Renovation Cycle, 0.35779870729140095
1.9580208817897509, 18, Energy Intensity, 0.2031125237477358
1.9580208817897509, 18, Typesplit and Splitshare, 0.9069644170302718
1.9580208817897509, 18, Dwelling, 0.7051657479460686
1.8935492995180823, 19, Population, 0.13037966748012952
1.8935492995180823, 19, Renovation Cycle, 0.5720778994315722
1.8935492995180823, 19, Energy Intensity, 0.514568389072285
1.8935492995180823, 19, Typesplit and Splitshare, 0.9097523657109459
1.8935492995180823, 19, Dwelling, 0.8870003240422196
1.8699913485471316, 20, Population, 0.2604705642744577
1.8699913485471316, 20, Renovation Cycle, 0.5706427225310964
1.8699913485471316, 20, Energy Intensity, 0.3491179381016827
1.8699913485471316, 20, Typesplit and Splitshare, 0.9203005685816608
1.8699913485471316, 20, Dwelling, 0.26619620593587223
1.651761125999132, 21, Population, 0.6062388742704299
1.651761125999132, 21, Renovation Cycle, 0.2277477696176171
1.651761125999132, 21, Energy Intensity, 0.43345695804907913
1.651761125999132, 21, Typesplit and Splitshare, 0.9789318366547031
1.651761125999132, 21, Dwelling, 0.9283062932047461
1.5936045431637735, 22, Population, 0.794882985241687
1.5936045431637735, 22, Renovation Cycle, 0.18779385099600443
1.5936045431637735, 22, Energy Intensity, 0.3554316920344096
1.5936045431637735, 22, Typesplit and Splitshare, 0.9911817691508445
1.5936045431637735, 22, Dwelling, 0.9974712790599836
1.4890294413508787, 23, Population, 0.15408389216269092
1.4890294413508787, 23, Renovation Cycle, 0.33641331404107133
1.4890294413508787, 23, Energy Intensity, 0.14023165194058196
1.4890294413508787, 23, Typesplit and Splitshare, 0.8658642488812515
1.4890294413508787, 23, Dwelling, 0.03147603591014336
1.3819282556040646, 24, Population, 0.8127140796642028
1.3819282556040646, 24, Renovation Cycle, 0.10302840114719336
1.3819282556040646, 24, Energy Intensity, 0.5239678525050491
1.3819282556040646, 24, Typesplit and Splitshare, 0.9898232642244638
1.3819282556040646, 24, Dwelling, 0.8663986214782772
1.3563849464222069, 25, Population, 0.36265179191234265
1.3563849464222069, 25, Renovation Cycle, 0.32795897131339335
1.3563849464222069, 25, Energy Intensity, 0.7503478967869992
1.3563849464222069, 25, Typesplit and Splitshare, 0.9366062231558338
1.3563849464222069, 25, Dwelling, 0.3817666966585592
