"Fitness", "Individual", "Variable", "Value"
11.936691422755423, 0, Population, 2050
11.936691422755423, 0, Renovation Cycle, 2089
11.936691422755423, 0, Energy Intensity, 2081
11.936691422755423, 0, Typesplit and Splitshare, 2078
11.936691422755423, 0, Dwelling, 2069
11.312460726919154, 1, Population, 2048
11.312460726919154, 1, Renovation Cycle, 2067
11.312460726919154, 1, Energy Intensity, 2052
11.312460726919154, 1, Typesplit and Splitshare, 2065
11.312460726919154, 1, Dwelling, 2081
10.344445148840192, 2, Population, 2084
10.344445148840192, 2, Renovation Cycle, 2025
10.344445148840192, 2, Energy Intensity, 2051
10.344445148840192, 2, Typesplit and Splitshare, 2042
10.344445148840192, 2, Dwelling, 2085
8.612245653723916, 3, Population, 2079
8.612245653723916, 3, Renovation Cycle, 2074
8.612245653723916, 3, Energy Intensity, 2094
8.612245653723916, 3, Typesplit and Splitshare, 2072
8.612245653723916, 3, Dwelling, 2026
5.1451937182954595, 4, Population, 2029
5.1451937182954595, 4, Renovation Cycle, 2042
5.1451937182954595, 4, Energy Intensity, 2080
5.1451937182954595, 4, Typesplit and Splitshare, 2058
5.1451937182954595, 4, Dwelling, 2071
4.8556374893705705, 5, Population, 2050
4.8556374893705705, 5, Renovation Cycle, 2056
4.8556374893705705, 5, Energy Intensity, 2076
4.8556374893705705, 5, Typesplit and Splitshare, 2092
4.8556374893705705, 5, Dwelling, 2075
3.7026989454795207, 6, Population, 2053
3.7026989454795207, 6, Renovation Cycle, 2051
3.7026989454795207, 6, Energy Intensity, 2089
3.7026989454795207, 6, Typesplit and Splitshare, 2091
3.7026989454795207, 6, Dwelling, 2051
2.7706109069711733, 7, Population, 2057
2.7706109069711733, 7, Renovation Cycle, 2091
2.7706109069711733, 7, Energy Intensity, 2063
2.7706109069711733, 7, Typesplit and Splitshare, 2073
2.7706109069711733, 7, Dwelling, 2069
2.668620711811148, 8, Population, 2050
2.668620711811148, 8, Renovation Cycle, 2093
2.668620711811148, 8, Energy Intensity, 2098
2.668620711811148, 8, Typesplit and Splitshare, 2092
2.668620711811148, 8, Dwelling, 2084
2.4679804220443473, 9, Population, 2041
2.4679804220443473, 9, Renovation Cycle, 2064
2.4679804220443473, 9, Energy Intensity, 2031
2.4679804220443473, 9, Typesplit and Splitshare, 2066
2.4679804220443473, 9, Dwelling, 2057
2.362237563289952, 10, Population, 2053
2.362237563289952, 10, Renovation Cycle, 2035
2.362237563289952, 10, Energy Intensity, 2081
2.362237563289952, 10, Typesplit and Splitshare, 2035
2.362237563289952, 10, Dwelling, 2032
2.3476924968386905, 11, Population, 2040
2.3476924968386905, 11, Renovation Cycle, 2068
2.3476924968386905, 11, Energy Intensity, 2047
2.3476924968386905, 11, Typesplit and Splitshare, 2059
2.3476924968386905, 11, Dwelling, 2058
2.3202713828575767, 12, Population, 2065
2.3202713828575767, 12, Renovation Cycle, 2040
2.3202713828575767, 12, Energy Intensity, 2051
2.3202713828575767, 12, Typesplit and Splitshare, 2073
2.3202713828575767, 12, Dwelling, 2054
2.252944613697365, 13, Population, 2080
2.252944613697365, 13, Renovation Cycle, 2084
2.252944613697365, 13, Energy Intensity, 2059
2.252944613697365, 13, Typesplit and Splitshare, 2033
2.252944613697365, 13, Dwelling, 2038
2.212027780323387, 14, Population, 2039
2.212027780323387, 14, Renovation Cycle, 2076
2.212027780323387, 14, Energy Intensity, 2033
2.212027780323387, 14, Typesplit and Splitshare, 2062
2.212027780323387, 14, Dwelling, 2083
2.079752619224089, 15, Population, 2034
2.079752619224089, 15, Renovation Cycle, 2064
2.079752619224089, 15, Energy Intensity, 2070
2.079752619224089, 15, Typesplit and Splitshare, 2060
2.079752619224089, 15, Dwelling, 2041
2.074679440596031, 16, Population, 2038
2.074679440596031, 16, Renovation Cycle, 2067
2.074679440596031, 16, Energy Intensity, 2058
2.074679440596031, 16, Typesplit and Splitshare, 2049
2.074679440596031, 16, Dwelling, 2044
2.0745298821996654, 17, Population, 2025
2.0745298821996654, 17, Renovation Cycle, 2088
2.0745298821996654, 17, Energy Intensity, 2052
2.0745298821996654, 17, Typesplit and Splitshare, 2037
2.0745298821996654, 17, Dwelling, 2056
1.9580208817897509, 18, Population, 2081
1.9580208817897509, 18, Renovation Cycle, 2057
1.9580208817897509, 18, Energy Intensity, 2066
1.9580208817897509, 18, Typesplit and Splitshare, 2026
1.9580208817897509, 18, Dwelling, 2079
1.8935492995180823, 19, Population, 2091
1.8935492995180823, 19, Renovation Cycle, 2082
1.8935492995180823, 19, Energy Intensity, 2077
1.8935492995180823, 19, Typesplit and Splitshare, 2075
1.8935492995180823, 19, Dwelling, 2044
1.8699913485471316, 20, Population, 2050
1.8699913485471316, 20, Renovation Cycle, 2037
1.8699913485471316, 20, Energy Intensity, 2077
1.8699913485471316, 20, Typesplit and Splitshare, 2094
1.8699913485471316, 20, Dwelling, 2027
1.651761125999132, 21, Population, 2096
1.651761125999132, 21, Renovation Cycle, 2063
1.651761125999132, 21, Energy Intensity, 2058
1.651761125999132, 21, Typesplit and Splitshare, 2056
1.651761125999132, 21, Dwelling, 2069
1.5936045431637735, 22, Population, 2081
1.5936045431637735, 22, Renovation Cycle, 2048
1.5936045431637735, 22, Energy Intensity, 2047
1.5936045431637735, 22, Typesplit and Splitshare, 2095
1.5936045431637735, 22, Dwelling, 2047
1.4890294413508787, 23, Population, 2086
1.4890294413508787, 23, Renovation Cycle, 2039
1.4890294413508787, 23, Energy Intensity, 2062
1.4890294413508787, 23, Typesplit and Splitshare, 2059
1.4890294413508787, 23, Dwelling, 2059
1.3819282556040646, 24, Population, 2074
1.3819282556040646, 24, Renovation Cycle, 2078
1.3819282556040646, 24, Energy Intensity, 2025
1.3819282556040646, 24, Typesplit and Splitshare, 2090
1.3819282556040646, 24, Dwelling, 2099
1.3563849464222069, 25, Population, 2079
1.3563849464222069, 25, Renovation Cycle, 2075
1.3563849464222069, 25, Energy Intensity, 2030
1.3563849464222069, 25, Typesplit and Splitshare, 2074
1.3563849464222069, 25, Dwelling, 2080
1.344539878864002, 26, Population, 2081
1.344539878864002, 26, Renovation Cycle, 2093
1.344539878864002, 26, Energy Intensity, 2036
1.344539878864002, 26, Typesplit and Splitshare, 2045
1.344539878864002, 26, Dwelling, 2050
1.3174486332123219, 27, Population, 2064
1.3174486332123219, 27, Renovation Cycle, 2088
1.3174486332123219, 27, Energy Intensity, 2045
1.3174486332123219, 27, Typesplit and Splitshare, 2065
1.3174486332123219, 27, Dwelling, 2054
1.296712539916665, 28, Population, 2070
1.296712539916665, 28, Renovation Cycle, 2043
1.296712539916665, 28, Energy Intensity, 2088
1.296712539916665, 28, Typesplit and Splitshare, 2035
1.296712539916665, 28, Dwelling, 2092
1.2897955944857595, 29, Population, 2039
1.2897955944857595, 29, Renovation Cycle, 2070
1.2897955944857595, 29, Energy Intensity, 2025
1.2897955944857595, 29, Typesplit and Splitshare, 2086
1.2897955944857595, 29, Dwelling, 2044
1.2774276326329965, 30, Population, 2035
